RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Trevor Booker, PF",IND/BKN/PHI,68,17.0,59,0.9,2.4,1.39,0.47
,"Jon Leuer, PF",DET,8,17.0,7,0.9,2.5,0.71,0.14
,"Raul Neto, PG",UTAH,41,12.1,36,0.9,3.5,2.08,0.36
,"Zach Collins, C",POR,66,15.8,58,0.9,2.7,0.90,0.29
,"Isaiah Hicks, PF",NY,18,13.3,16,0.9,3.2,1.00,0.13
,"Daniel Theis, PF",BOS,63,14.8,56,0.9,2.9,1.00,0.54
,"Joe Johnson, SG",HOU/UTAH,55,21.9,49,0.9,2.0,1.69,0.37
,"Jordan Bell, C",GS,57,14.2,51,0.9,3.0,2.00,0.69
,"Troy Williams, F",HOU/NY,21,14.6,19,0.9,3.0,0.84,1.05
,"Jawun Evans, PG",LAC,48,16.2,44,0.9,2.7,2.27,0.82
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Boban Marjanovic, C",DET/LAC,39,8.7,36,0.9,5.1,0.61,0.28
,"Damion Lee, SG",ATL,15,26.9,14,0.9,1.7,2.07,1.36
,"Alec Burks, SG",UTAH,64,16.5,60,0.9,2.7,1.12,0.62
224,"Myke Henry, F",MEM,20,18.9,19,1.0,2.4,1.16,1.63
,"Shaquille Harrison, PG",PHX,23,16.7,22,1.0,2.8,2.50,1.18
,"Bam Adebayo, C",MIA,69,19.8,66,1.0,2.3,1.53,0.48
,"Tim Frazier, PG",WSH,59,14.2,57,1.0,3.3,3.40,0.82
,"Quinn Cook, PG",GS,33,22.4,32,1.0,2.1,2.78,0.38
,"Chandler Parsons, SF",MEM,36,19.2,35,1.0,2.4,1.97,0.51
,"Ivan Rabb, PF",MEM,36,14.3,35,1.0,3.3,0.91,0.34
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Cristiano Felicio, C",CHI,55,17.8,54,1.0,2.7,1.02,0.30
,"Kendrick Perkins, C",CLE,1,15.0,1,1.0,3.2,2.00,1.00
,"Luol Deng, SF",LAL,1,13.0,1,1.0,3.7,1.00,1.00
,"Jeremy Evans, F",ATL,1,5.0,1,1.0,9.6,0.00,0.00
,"Aaron Jackson, PG",HOU,1,35.0,1,1.0,1.4,1.00,0.00
,"Scotty Hopson, SG",DAL,1,8.0,1,1.0,6.0,1.00,0.00
,"Luis Montero, SG",DET,2,4.0,2,1.0,12.0,0.00,0.00
,"Marquis Teague, G",MEM,3,24.7,3,1.0,1.9,4.33,1.33
,"Jordan Crawford, SG",NO,5,10.6,5,1.0,4.5,2.60,0.20
,"Jaylen Morris, G",ATL,6,16.3,6,1.0,2.9,1.17,0.33
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
241,"Kay Felder, PG",CHI/DET,16,8.8,16,1.0,5.5,1.25,0.19
,"Dorian Finney-Smith, SF",DAL,21,21.3,21,1.0,2.3,1.24,0.48
,"Jonathan Isaac, PF",ORL,27,19.8,27,1.0,2.4,0.67,1.22
,"Cody Zeller, C",CHA,33,19.0,33,1.0,2.5,0.94,0.42
,"Michael Carter-Williams, PG",CHA,52,16.1,52,1.0,3.0,2.23,0.85
,"Zaza Pachulia, C",GS,69,14.1,72,1.0,3.6,1.51,0.53
,"Ersan Ilyasova, PF",ATL/PHI,69,25.1,72,1.0,2.0,1.25,0.85
,"Andre Iguodala, SF",GS,64,25.4,67,1.0,2.0,3.13,0.81
249,"Timofey Mozgov, C",BKN,31,11.6,33,1.1,4.4,0.33,0.15
,"Ramon Sessions, PG",NY/WSH,28,14.0,30,1.1,3.7,2.57,0.47
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Ben McLemore, SG",MEM,56,19.5,61,1.1,2.7,0.84,0.62
,"Luc Mbah a Moute, PF",HOU,61,25.6,68,1.1,2.1,0.81,1.06
,"Stanley Johnson, SF",DET,69,27.4,77,1.1,2.0,1.45,1.23
,"Nikola Mirotic, PF",NO/CHI,55,27.2,62,1.1,2.0,1.29,0.71
,"Alex Len, C",PHX,69,20.2,78,1.1,2.7,1.05,0.35
,"Delon Wright, PG",TOR,69,20.8,78,1.1,2.6,2.56,0.92
,"Justise Winslow, SF",MIA,68,24.7,77,1.1,2.2,1.92,0.70
,"Alex Caruso, SG",LAL,37,15.2,42,1.1,3.6,1.79,0.55
,"Iman Shumpert, SG",CLE,14,19.7,16,1.1,2.8,1.06,0.56
,"Al-Farouq Aminu, PF",POR,69,30.0,79,1.1,1.8,1.06,1.00
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Miles Plumlee, C",ATL,55,16.7,63,1.1,3.3,0.71,0.27
262,"Rodney Hood, SG",CLE/UTAH,60,26.9,70,1.2,2.1,1.36,0.64
,"Jerryd Bayless, PG",PHI,39,23.7,46,1.2,2.4,1.17,0.50
,"Trey Burke, PG",NY,36,21.8,43,1.2,2.6,3.95,0.56
,"Marcus Morris, PF",BOS,54,26.7,65,1.2,2.2,1.11,0.54
,"Terrence Ross, SG",ORL,24,25.0,29,1.2,2.3,1.31,0.93
,"Markelle Fultz, PG",PHI,14,18.1,17,1.2,3.2,3.12,0.71
