RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Mike Muscala, PF",ATL,53,20.0,80,1.5,3.6,0,0,0
,"Omari Johnson, F",MEM,4,18.8,6,1.5,3.8,0,0,0
,"Markel Brown, SG",HOU,4,7.8,6,1.5,9.3,0,0,0
,"Andre Ingram, SG",LAL,2,32.0,3,1.5,2.3,0,0,0
,"Sterling Brown, SG",MIL,54,14.4,80,1.5,4.9,0,4,0
,"Chandler Parsons, SF",MEM,36,19.2,53,1.5,3.7,0,0,0
,"DeAndre' Bembry, SF",ATL,26,17.5,38,1.5,4.0,0,0,0
259,"Isaiah Whitehead, G",BKN,16,11.3,23,1.4,6.1,0,0,0
,"Miles Plumlee, C",ATL,55,16.7,79,1.4,4.1,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Danilo Gallinari, SF",LAC,21,32.0,30,1.4,2.1,0,0,0
,"Dante Exum, PG",UTAH,14,16.8,20,1.4,4.1,0,0,0
,"Jose Calderon, PG",CLE,57,16.0,81,1.4,4.3,0,0,0
,"Justin Anderson, SG",PHI,38,13.7,54,1.4,5.0,1,0,0
,"Alex Caruso, SG",LAL,37,15.2,52,1.4,4.4,0,0,0
,"JaVale McGee, C",GS,65,9.5,91,1.4,7.1,0,1,0
,"Myke Henry, F",MEM,20,18.9,28,1.4,3.6,0,0,0
,"Luke Kornet, PF",NY,20,16.4,28,1.4,4.1,0,0,0
,"Mirza Teletovic, PF",MIL,10,15.9,14,1.4,4.2,0,0,0
,"Jordan Crawford, SG",NO,5,10.6,7,1.4,6.3,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"R.J. Hunter, SG",HOU,5,9.0,7,1.4,7.5,0,0,0
,"DeAndre Liggins, SG",NO/MIL,58,12.5,81,1.4,5.4,0,1,0
,"Tyler Ennis, G",LAL,54,12.6,75,1.4,5.3,0,0,0
,"Frank Mason III, PG",SAC,52,18.9,72,1.4,3.5,0,1,0
,"Kyle Collinsworth, PG",DAL,32,15.0,44,1.4,4.4,0,0,0
,"Jalen Jones, F",NO/DAL,16,11.3,22,1.4,5.8,0,0,0
,"Caleb Swanigan, PF",POR,27,7.0,37,1.4,9.4,0,0,0
,"Terrance Ferguson, SG",OKC,61,12.5,83,1.4,5.2,0,1,0
,"Antonius Cleveland, SG",ATL/DAL,17,7.2,23,1.4,9.0,0,0,0
