RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
184,"Dante Cunningham, SF",NO/BKN,73,21.4,39,0.53,1.20,33,0.45,111,1.18,0.35
,"Jarell Martin, PF",MEM,73,22.8,39,0.53,1.13,86,1.18,211,0.45,0.18
,"Wesley Iwundu, SF",ORL,62,16.5,33,0.53,1.55,30,0.48,81,1.10,0.41
,"CJ Miles, SF",TOR,70,19.1,37,0.53,1.33,39,0.56,134,0.95,0.28
,"Norman Powell, SF",TOR,70,15.2,37,0.53,1.67,66,0.94,111,0.56,0.33
,"Jeff Green, SF",CLE,78,23.4,41,0.53,1.08,75,0.96,149,0.55,0.28
190,"Julius Randle, PF",LAL,82,26.7,43,0.52,0.94,213,2.60,274,0.20,0.16
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
,"Treveon Graham, SG",CHA,63,16.7,33,0.52,1.51,27,0.43,109,1.22,0.30
,"Royce O'Neale, SF",UTAH,69,16.7,36,0.52,1.50,55,0.80,105,0.65,0.34
,"Kevon Looney, SF",GS,66,13.8,34,0.52,1.79,31,0.47,106,1.10,0.32
194,"Thon Maker, C",MIL,74,16.7,38,0.51,1.47,44,0.59,162,0.86,0.23
,"Isaiah Taylor, G",ATL,67,17.4,34,0.51,1.40,84,1.25,116,0.40,0.29
,"J.J. Barea, PG",DAL,69,23.2,35,0.51,1.05,143,2.07,83,0.24,0.42
,"Enes Kanter, C",NY,71,25.8,36,0.51,0.94,122,1.72,187,0.30,0.19
,"Alex Abrines, SG",OKC,75,15.1,38,0.51,1.61,25,0.33,124,1.52,0.31
,"DeAndre Jordan, C",LAC,77,31.5,39,0.51,0.77,137,1.78,203,0.28,0.19
200,"Jamal Crawford, SG",MIN,80,20.7,40,0.50,1.16,95,1.19,85,0.42,0.47
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
201,"JJ Redick, SG",PHI,70,30.2,35,0.50,0.79,103,1.47,123,0.34,0.28
202,"Ian Mahinmi, C",WSH,77,14.9,38,0.49,1.59,100,1.30,230,0.38,0.17
,"Shaun Livingston, PG",GS,71,15.9,35,0.49,1.49,58,0.82,117,0.60,0.30
,"Marcin Gortat, C",WSH,82,25.3,40,0.49,0.93,99,1.21,175,0.40,0.23
,"Michael Beasley, SF",NY,74,22.3,36,0.49,1.05,143,1.93,145,0.25,0.25
206,"Daniel Theis, PF",BOS,63,14.8,30,0.48,1.54,56,0.89,157,0.54,0.19
,"Jakob Poeltl, C",TOR,82,18.6,39,0.48,1.23,85,1.04,212,0.46,0.18
,"Nick Young, SG",GS,80,17.4,38,0.48,1.31,39,0.49,100,0.97,0.38
209,"Montrezl Harrell, PF",LAC,76,17.0,36,0.47,1.34,68,0.89,143,0.53,0.25
,"Quincy Acy, SF",BKN,70,19.4,33,0.47,1.17,60,0.86,149,0.55,0.22
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
211,"Bam Adebayo, C",MIA,69,19.8,32,0.46,1.12,66,0.96,138,0.48,0.23
,"Eric Moreland, C",DET,67,12.0,31,0.46,1.85,41,0.61,116,0.76,0.27
,"Frank Kaminsky, PF",CHA,79,23.2,36,0.46,0.94,66,0.84,95,0.55,0.38
214,"Kyle O'Quinn, C",NY,77,18.0,35,0.45,1.21,100,1.30,192,0.35,0.18
,"Joe Harris, SF",BKN,78,25.3,35,0.45,0.85,91,1.17,153,0.38,0.23
,"Ian Clark, SG",NO,74,19.6,33,0.45,1.09,57,0.77,120,0.58,0.28
217,"Kyle Korver, SG",CLE,73,21.6,31,0.42,0.95,55,0.75,130,0.56,0.24
,"Skal Labissiere, PF",SAC,60,20.7,25,0.42,0.97,73,1.22,132,0.34,0.19
219,"Trevor Booker, PF",IND/BKN/PHI,68,17.0,28,0.41,1.16,59,0.87,119,0.47,0.24
,"Justin Jackson, SF",SAC,68,22.1,28,0.41,0.89,40,0.59,81,0.70,0.35
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
